Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 15.09      0.16     0.16 101393340     0.00     0.00  std::_Deque_iterator<common::Point, common::Point&, common::Point*>::_Deque_iterator(std::_Deque_iterator<common::Point, common::Point&, common::Point*> const&)
  7.55      0.24     0.08        1    80.00   861.43  std::deque<common::Point, std::allocator<common::Point> > common::compute_convex_hull<std::deque<common::Point, std::allocator<common::Point> > >(std::deque<common::Point, std::allocator<common::Point> >)
  5.66      0.30     0.06 23888386     0.00     0.00  common::Point::operator<(common::Point const&) const
  5.19      0.35     0.06 20192383     0.00     0.00  bool __gnu_cxx::__ops::_Iter_less_iter::operator()<std::_Deque_iterator<common::Point, common::Point&, common::Point*>, std::_Deque_iterator<common::Point, common::Point&, common::Point*> >(std::_Deque_iterator<common::Point, common::Point&, common::Point*>, std::_Deque_iterator<common::Point, common::Point&, common::Point*>) const
  4.25      0.40     0.04 71434849     0.00     0.00  std::_Deque_iterator<common::Point, common::Point&, common::Point*>::operator*() const
  4.25      0.45     0.04   103905     0.00     0.00  std::_Deque_iterator<common::Point, common::Point&, common::Point*> std::__unguarded_partition<std::_Deque_iterator<common::Point, common::Point&, common::Point*>, __gnu_cxx::__ops::_Iter_less_iter>(std::_Deque_iterator<common::Point, common::Point&, common::Point*>, std::_Deque_iterator<common::Point, common::Point&, common::Point*>, std::_Deque_iterator<common::Point, common::Point&, common::Point*>, __gnu_cxx::__ops::_Iter_less_iter)
  3.77      0.48     0.04 29682128     0.00     0.00  std::__deque_buf_size(unsigned long)
  3.77      0.53     0.04 10999911     0.00     0.00  std::deque<common::Point, std::allocator<common::Point> >::end()
  3.77      0.56     0.04  2000000     0.00     0.00  double std::generate_canonical<double, 53ul, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  3.30      0.60     0.04 15163982     0.00     0.00  std::_Deque_iterator<common::Point, common::Point&, common::Point*>::operator++()
  2.83      0.63     0.03 10415508     0.00     0.00  std::_Deque_iterator<common::Point, common::Point&, common::Point*>::operator+=(long)
  2.83      0.66     0.03     6411     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::_M_gen_rand()
  1.89      0.68     0.02  8432910     0.00     0.00  std::operator-(std::_Deque_iterator<common::Point, common::Point&, common::Point*> const&, std::_Deque_iterator<common::Point, common::Point&, common::Point*> const&)
  1.89      0.70     0.02  4121246     0.00     0.00  std::deque<common::Point, std::allocator<common::Point> >::size() const
  1.89      0.72     0.02  4000007     0.00     0.00  std::_Deque_iterator<common::Point, common::Point const&, common::Point const*>::_Deque_iterator<std::_Deque_iterator<common::Point, common::Point&, common::Point*>, void>(std::_Deque_iterator<common::Point, common::Point&, common::Point*> const&)
  1.89      0.74     0.02       37     0.54     0.54  std::deque<common::Point, std::allocator<common::Point> >::end() const
  1.42      0.76     0.01 18357157     0.00     0.00  std::_Deque_iterator<common::Point, common::Point&, common::Point*>::operator--()
  1.42      0.77     0.01  2000000     0.00     0.00  double std::uniform_real_distribution<double>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::uniform_real_distribution<double>::param_type const&)
  1.42      0.79     0.01  1999964     0.00     0.00  std::deque<common::Point, std::allocator<common::Point> >::_M_erase(std::_Deque_iterator<common::Point, common::Point&, common::Point*>)
  0.94      0.80     0.01 29345765     0.00     0.00  std::_Deque_iterator<common::Point, common::Point&, common::Point*>::_S_buffer_size()
  0.94      0.81     0.01  5999916     0.00     0.00  std::deque<common::Point, std::allocator<common::Point> >::begin()
  0.94      0.81     0.01  5090045     0.00     0.00  common::Point const& std::forward<common::Point const&>(std::remove_reference<common::Point const&>::type&)
  0.94      0.82     0.01  4000000     0.00     0.00  std::uniform_real_distribution<double>::param_type::a() const
  0.94      0.83     0.01  3999958     0.00     0.00  common::compute_convex_hull<std::deque<common::Point, std::allocator<common::Point> > >(std::deque<common::Point, std::allocator<common::Point> >)::{lambda(common::Point const&, common::Point const&, common::Point const&)#1}::operator()(common::Point const&, common::Point const&, common::Point const&) const
  0.94      0.84     0.01  3981077     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<common::Point> >, std::is_move_constructible<common::Point>, std::is_move_assignable<common::Point> >::value, void>::type std::swap<common::Point>(common::Point&, common::Point&)
  0.94      0.85     0.01  3870777     0.00     0.00  std::_Deque_iterator<common::Point, common::Point&, common::Point*>::_M_set_node(common::Point**)
  0.94      0.86     0.01  2311684     0.00     0.00  std::operator+(std::_Deque_iterator<common::Point, common::Point&, common::Point*> const&, long)
  0.94      0.88     0.01  2000000     0.00     0.00  std::deque<common::Point, std::allocator<common::Point> >::insert(std::_Deque_iterator<common::Point, common::Point const&, common::Point const*>, common::Point const&)
  0.94      0.89     0.01  1999999     0.00     0.00  std::deque<common::Point, std::allocator<common::Point> >::push_back(common::Point const&)
  0.94      0.90     0.01  1999964     0.00     0.00  std::deque<common::Point, std::allocator<common::Point> >::erase(std::_Deque_iterator<common::Point, common::Point const&, common::Point const*>)
  0.94      0.91     0.01  1999964     0.00     0.00  std::deque<common::Point, std::allocator<common::Point> >::pop_back()
  0.94      0.92     0.01  1000037     0.00     0.00  std::operator==(std::_Deque_iterator<common::Point, common::Point const&, common::Point const*> const&, std::_Deque_iterator<common::Point, common::Point const&, common::Point const*> const&)
  0.94      0.93     0.01  1000000     0.00     0.00  std::_Deque_iterator<common::Point, common::Point const&, common::Point const*>::operator*() const
  0.94      0.94     0.01  1000000     0.00     0.00  common::Point& std::deque<common::Point, std::allocator<common::Point> >::emplace_back<double, double>(double&&, double&&)
  0.94      0.94     0.01  1000000     0.00     0.00  void std::_Construct<common::Point, common::Point const&>(common::Point*, common::Point const&)
  0.94      0.95     0.01   999997     0.00     0.00  void std::__unguarded_linear_insert<std::_Deque_iterator<common::Point, common::Point&, common::Point*>, __gnu_cxx::__ops::_Val_less_iter>(std::_Deque_iterator<common::Point, common::Point&, common::Point*>, __gnu_cxx::__ops::_Val_less_iter)
  0.94      0.96     0.01   152549     0.00     0.00  std::_Deque_base<common::Point, std::allocator<common::Point> >::_M_deallocate_node(common::Point*)
  0.94      0.97     0.01   152549     0.00     0.00  std::__new_allocator<common::Point>::allocate(unsigned long, void const*)
  0.94      0.98     0.01    90044     0.00     0.00  void std::deque<common::Point, std::allocator<common::Point> >::_M_push_back_aux<common::Point const&>(common::Point const&)
  0.94      0.99     0.01        4     2.50     2.50  std::_Deque_iterator<common::Point, common::Point&, common::Point*> std::__miter_base<std::_Deque_iterator<common::Point, common::Point&, common::Point*> >(std::_Deque_iterator<common::Point, common::Point&, common::Point*>)
  0.47      1.00     0.01 16639236     0.00     0.00  std::remove_reference<common::Point&>::type&& std::move<common::Point&>(common::Point&)
  0.47      1.00     0.01  4999969     0.00     0.00  std::operator==(std::_Deque_iterator<common::Point, common::Point&, common::Point*> const&, std::_Deque_iterator<common::Point, common::Point&, common::Point*> const&)
  0.47      1.01     0.01  3999967     0.00     0.00  std::operator!=(std::_Deque_iterator<common::Point, common::Point&, common::Point*> const&, std::_Deque_iterator<common::Point, common::Point&, common::Point*> const&)
  0.47      1.01     0.01  2000002     0.00     0.00  std::reverse_iterator<std::_Deque_iterator<common::Point, common::Point&, common::Point*> >::base() const
