Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  6.67      0.06     0.06 27415468     0.00     0.00  __gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > >::__normal_iterator(common::Point* const&)
  6.67      0.12     0.06  2000000     0.00     0.00  std::vector<common::Point, std::allocator<common::Point> >::insert(__gnu_cxx::__normal_iterator<common::Point const*, std::vector<common::Point, std::allocator<common::Point> > >, common::Point const&)
  5.56      0.17     0.05 70434849     0.00     0.00  __gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > >::operator*() const
  5.56      0.22     0.05 17687874     0.00     0.00  std::remove_reference<common::Point&>::type&& std::move<common::Point&>(common::Point&)
  5.00      0.27     0.04 23888386     0.00     0.00  common::Point::operator<(common::Point const&) const
  4.44      0.30     0.04 20192383     0.00     0.00  bool __gnu_cxx::__ops::_Iter_less_iter::operator()<__gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > >, __gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > > >(__gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > >, __gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > >) const
  4.44      0.34     0.04  2000000     0.00     0.00  double std::generate_canonical<double, 53ul, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  3.33      0.38     0.03 12164018     0.00     0.00  __gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > >::operator++()
  3.33      0.41     0.03  7999917     0.00     0.00  void std::__advance<__gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > >, long>(__gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > >&, long, std::random_access_iterator_tag)
  3.33      0.43     0.03  1000000     0.00     0.00  void std::_Construct<common::Point, common::Point const&>(common::Point*, common::Point const&)
  3.33      0.47     0.03   103905     0.00     0.00  __gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > > std::__unguarded_partition<__gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > >, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > >, __gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > >, __gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > >, __gnu_cxx::__ops::_Iter_less_iter)
  2.22      0.48     0.02 13999995     0.00     0.00  __gnu_cxx::__normal_iterator<common::Point const*, std::vector<common::Point, std::allocator<common::Point> > >::base() const
  2.22      0.51     0.02  7999917     0.00     0.00  __gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > >::operator+=(long)
  2.22      0.53     0.02  4311657     0.00     0.00  __gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > >::operator+(long) const
  2.22      0.55     0.02  3999964     0.00     0.00  __gnu_cxx::__normal_iterator<common::Point const*, std::vector<common::Point, std::allocator<common::Point> > >::__normal_iterator<common::Point*, void>(__gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > > const&)
  2.22      0.56     0.02  2000000     0.00     0.00  std::uniform_real_distribution<double>::param_type::b() const
  2.22      0.58     0.02  1999964     0.00     0.00  std::vector<common::Point, std::allocator<common::Point> >::_M_erase(__gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > >)
  2.22      0.60     0.02  1000000     0.00     0.00  common::Point& std::vector<common::Point, std::allocator<common::Point> >::emplace_back<double, double>(double&&, double&&)
  2.22      0.62     0.02     6411     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::_M_gen_rand()
  2.22      0.65     0.02        1    20.00   658.75  std::vector<common::Point, std::allocator<common::Point> > common::compute_convex_hull<std::vector<common::Point, std::allocator<common::Point> > >(std::vector<common::Point, std::allocator<common::Point> >)
  1.67      0.66     0.01  6999984     0.00     0.00  std::vector<common::Point, std::allocator<common::Point> >::begin()
  1.67      0.68     0.01  4000000     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::min()
  1.67      0.69     0.01  3981077     0.00     0.00  bool __gnu_cxx::operator< <common::Point*, std::vector<common::Point, std::allocator<common::Point> > >(__gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > > const&, __gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > > const&)
  1.11      0.70     0.01 30585569     0.00     0.00  __gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > >::base() const
  1.11      0.71     0.01 15357158     0.00     0.00  __gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > >::operator--()
  1.11      0.72     0.01 12999922     0.00     0.00  std::vector<common::Point, std::allocator<common::Point> >::end()
  1.11      0.73     0.01  4000000     0.00     0.00  std::uniform_real_distribution<double>::param_type::a() const
  1.11      0.74     0.01  3999967     0.00     0.00  bool __gnu_cxx::operator!=<common::Point*, std::vector<common::Point, std::allocator<common::Point> > >(__gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > > const&, __gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > > const&)
  1.11      0.75     0.01  3999958     0.00     0.00  common::compute_convex_hull<std::vector<common::Point, std::allocator<common::Point> > >(std::vector<common::Point, std::allocator<common::Point> >)::{lambda(common::Point const&, common::Point const&, common::Point const&)#1}::operator()(common::Point const&, common::Point const&, common::Point const&) const
  1.11      0.76     0.01  3981077     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<common::Point> >, std::is_move_constructible<common::Point>, std::is_move_assignable<common::Point> >::value, void>::type std::swap<common::Point>(common::Point&, common::Point&)
  1.11      0.77     0.01  2000000     0.00     0.00  double std::uniform_real_distribution<double>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  1.11      0.78     0.01  2000000     0.00     0.00  double std::uniform_real_distribution<double>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::uniform_real_distribution<double>::param_type const&)
  1.11      0.79     0.01  2000000     0.00     0.00  std::__detail::_Adaptor<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, double>::operator()()
  1.11      0.80     0.01  1999971     0.00     0.00  std::vector<common::Point, std::allocator<common::Point> >::cbegin() const
  1.11      0.81     0.01  1999964     0.00     0.00  std::vector<common::Point, std::allocator<common::Point> >::erase(__gnu_cxx::__normal_iterator<common::Point const*, std::vector<common::Point, std::allocator<common::Point> > >)
  1.11      0.82     0.01  1103905     0.00     0.00  __gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > >::operator-(long) const
  1.11      0.83     0.01  1048638     0.00     0.00  void std::__relocate_object_a<common::Point, common::Point, std::allocator<common::Point> >(common::Point*, common::Point*, std::allocator<common::Point>&)
  1.11      0.84     0.01   999997     0.00     0.00  __gnu_cxx::__ops::__val_comp_iter(__gnu_cxx::__ops::_Iter_less_iter)
  1.11      0.85     0.01   999997     0.00     0.00  void std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > >, __gnu_cxx::__ops::_Val_less_iter>(__gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > >, __gnu_cxx::__ops::_Val_less_iter)
  1.11      0.86     0.01        1    10.00   248.58  void std::__introsort_loop<__gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > >, long, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > >, __gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > >, long, __gnu_cxx::__ops::_Iter_less_iter)
  1.11      0.87     0.01        1    10.00    10.00  void std::__advance<__gnu_cxx::__normal_iterator<common::Point const*, std::vector<common::Point, std::allocator<common::Point> > >, long>(__gnu_cxx::__normal_iterator<common::Point const*, std::vector<common::Point, std::allocator<common::Point> > >&, long, std::random_access_iterator_tag)
  0.56      0.88     0.01  4000000     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::operator()()
  0.56      0.88     0.01  1000002     0.00     0.00  bool __gnu_cxx::operator==<common::Point*, std::vector<common::Point, std::allocator<common::Point> > >(__gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > > const&, __gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > > const&)
  0.56      0.89     0.01  1000000     0.00     0.00  common::Point::Point(double, double)
  0.56      0.89     0.01       56     0.09     0.09  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
